    DepositAgentAgent DT1 issued Deposit of 393.00 at:2024-02-11 22:41:46.914714
    WithdrawAgentAgent WT1 issued Withdraw of 83.00 at:2024-02-11 22:41:46.927148
    WithdrawAgentAgent WT10 issued Withdraw of 83.00 at:2024-02-11 22:41:46.966071
    WithdrawAgentAgent WT4 issued Withdraw of 83.00 at:2024-02-11 22:41:47.036245
    WithdrawAgentAgent WT2 issued Withdraw of 89.00 at:2024-02-11 22:41:47.250838
    WithdrawAgentAgent WT1 issued Withdraw of 83.00 at:2024-02-11 22:41:47.312904
    WithdrawAgentAgent WT6 issued Withdraw of 95.00 at:2024-02-11 22:41:47.506438
    WithdrawAgentAgent WT8 issued Withdraw of 76.00 at:2024-02-11 22:41:47.547984
    WithdrawAgentAgent WT9 issued Withdraw of 83.00 at:2024-02-11 22:41:47.614357
    DepositAgentAgent DT1 issued Deposit of 499.00 at:2024-02-11 22:44:54.823065
    WithdrawAgentAgent WT5 issued Withdraw of 76.00 at:2024-02-11 22:44:54.836323
    WithdrawAgentAgent WT6 issued Withdraw of 98.00 at:2024-02-11 22:44:54.836573
    WithdrawAgentAgent WT7 issued Withdraw of 75.00 at:2024-02-11 22:44:54.836762
    WithdrawAgentAgent WT9 issued Withdraw of 86.00 at:2024-02-11 22:44:54.836948
    DepositAgentAgent DT5 issued Deposit of 461.00 at:2024-02-11 22:44:54.971136
    WithdrawAgentAgent WT9 issued Withdraw of 79.00 at:2024-02-11 22:44:55.090408
    WithdrawAgentAgent WT4 issued Withdraw of 76.00 at:2024-02-11 22:44:55.164578
    WithdrawAgentAgent WT6 issued Withdraw of 86.00 at:2024-02-11 22:44:55.253622
    WithdrawAgentAgent WT7 issued Withdraw of 89.00 at:2024-02-11 22:44:55.281072
    WithdrawAgentAgent WT10 issued Withdraw of 97.00 at:2024-02-11 22:44:55.369298
    DepositAgentAgent DT4 issued Deposit of 382.00 at:2024-02-11 22:44:55.436027
    WithdrawAgentAgent WT8 issued Withdraw of 96.00 at:2024-02-11 22:44:55.513105
    WithdrawAgentAgent WT7 issued Withdraw of 90.00 at:2024-02-11 22:44:55.537883
    WithdrawAgentAgent WT9 issued Withdraw of 96.00 at:2024-02-11 22:44:55.634124
    WithdrawAgentAgent WT9 issued Withdraw of 81.00 at:2024-02-11 22:44:55.876782
    WithdrawAgentAgent WT3 issued Withdraw of 86.00 at:2024-02-11 22:44:56.085963
    WithdrawAgentAgent WT1 issued Withdraw of 55.00 at:2024-02-11 22:44:56.109651
    WithdrawAgentAgent WT7 issued Withdraw of 82.00 at:2024-02-11 22:44:56.154726
    WithdrawAgentAgent WT3 issued Withdraw of 83.00 at:2024-02-11 22:44:56.155282
    DepositAgentAgent DT2 issued Deposit of 397.00 at:2024-02-11 22:46:55.081079
    DepositAgentAgent DT3 issued Deposit of 414.00 at:2024-02-11 22:46:55.086492
    WithdrawAgentAgent WT2 issued Withdraw of 94.00 at:2024-02-11 22:46:55.087287
    WithdrawAgentAgent WT4 issued Withdraw of 89.00 at:2024-02-11 22:46:55.087578
    WithdrawAgentAgent WT9 issued Withdraw of 92.00 at:2024-02-11 22:46:55.087922
    WithdrawAgentAgent WT2 issued Withdraw of 78.00 at:2024-02-11 22:46:55.105245
    DepositAgentAgent DT1 issued Deposit of 374.00 at:2024-02-11 22:46:55.171931
    WithdrawAgentAgent WT4 issued Withdraw of 95.00 at:2024-02-11 22:46:55.203869
    WithdrawAgentAgent WT4 issued Withdraw of 77.00 at:2024-02-11 22:46:55.247499
    WithdrawAgentAgent WT6 issued Withdraw of 76.00 at:2024-02-11 22:46:55.577410
    WithdrawAgentAgent WT4 issued Withdraw of 92.00 at:2024-02-11 22:46:55.678413
    WithdrawAgentAgent WT2 issued Withdraw of 41.00 at:2024-02-11 22:46:55.780939
    WithdrawAgentAgent WT1 issued Withdraw of 77.00 at:2024-02-11 22:46:55.944620
    WithdrawAgentAgent WT6 issued Withdraw of 32.00 at:2024-02-11 22:46:55.977720
    WithdrawAgentAgent WT3 issued Withdraw of 98.00 at:2024-02-11 22:46:55.980873
    DepositAgentAgent DT1 issued Deposit of 362.00 at:2024-02-11 22:46:56.134039
    WithdrawAgentAgent WT10 issued Withdraw of 91.00 at:2024-02-11 22:46:56.159730
    WithdrawAgentAgent WT2 issued Withdraw of 68.00 at:2024-02-11 22:46:56.225966
    WithdrawAgentAgent WT5 issued Withdraw of 64.00 at:2024-02-11 22:46:56.283846
    WithdrawAgentAgent WT7 issued Withdraw of 80.00 at:2024-02-11 22:46:56.288971
    WithdrawAgentAgent WT2 issued Withdraw of 86.00 at:2024-02-11 22:46:56.303932
    WithdrawAgentAgent WT5 issued Withdraw of 79.00 at:2024-02-11 22:46:56.359358
